,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
44,gradient,2.112450416772865,2.073158344675751,1.0,1.0,0.007402181625366211,Momentum,1e-06,0.9,default_top160
44,gradient,2.1124505987230155,2.0731585795047947,1.0,1.0,0.0014908313751220703,Momentum,1e-06,0.9,default_top60
45,gradient,2.1124514144100472,2.073159478853442,1.0,1.0,0.007409811019897461,Momentum,1e-06,0.999,default_top160
45,gradient,2.112451579984936,2.0731596925481792,1.0,1.0,0.0015039443969726562,Momentum,1e-06,0.999,default_top60
37,gradient,2.112453953451804,2.073163232109847,1.0,1.0,0.00035691261291503906,LearningRate,1e-06,,default_notext
40,gradient,2.112453954206552,2.0731632328812304,1.0,1.0,0.0004200935363769531,Decay,1e-06,0.0001,default_notext
41,gradient,2.112453957224033,2.0731632359652212,1.0,1.0,0.0005509853363037109,Decay,1e-06,0.0005,default_notext
39,gradient,2.1124540281867517,2.0731633084920644,1.0,1.0,0.0005018711090087891,Decay,1e-06,0.01,default_notext
38,gradient,2.112454639654618,2.073163933437599,1.0,1.0,0.00034618377685546875,Decay,1e-06,0.1,default_notext
42,gradient,2.112456595334036,2.0731659322231355,1.0,1.0,0.0003771781921386719,Momentum,1e-06,0.7,default_notext
43,gradient,2.112456972746093,2.0731663179539237,1.0,1.0,0.0009088516235351562,Momentum,1e-06,0.8,default_notext
44,gradient,2.1124573501582264,2.0731667036847923,1.0,1.0,0.0005109310150146484,Momentum,1e-06,0.9,default_notext
45,gradient,2.112457723796314,2.07316708555843,1.0,1.0,0.00038886070251464844,Momentum,1e-06,0.999,default_notext
46,gradient,2.112459486245225,2.073168655434085,1.0,1.0,0.007355213165283203,LearningRate,1e-07,,default_top160
49,gradient,2.11245948644675,2.073168655663191,1.0,1.0,0.009679079055786133,Decay,1e-07,0.0001,default_top160
50,gradient,2.112459487252446,2.073168656579159,1.0,1.0,0.007471799850463867,Decay,1e-07,0.0005,default_top160
48,gradient,2.1124595062001665,2.0731686781201506,1.0,1.0,0.007643938064575195,Decay,1e-07,0.01,default_top160
46,gradient,2.112459519327528,2.073168698130833,1.0,1.0,0.0014650821685791016,LearningRate,1e-07,,default_top60
49,gradient,2.112459519525745,2.07316869835567,1.0,1.0,0.001500844955444336,Decay,1e-07,0.0001,default_top60
50,gradient,2.1124595203182164,2.0731686992545693,1.0,1.0,0.0013878345489501953,Decay,1e-07,0.0005,default_top60
48,gradient,2.1124595389549237,2.0731687203941602,1.0,1.0,0.0015339851379394531,Decay,1e-07,0.01,default_top60
47,gradient,2.1124596694678943,2.073168863733439,1.0,1.0,0.007954120635986328,Decay,1e-07,0.1,default_top160
47,gradient,2.1124596995427245,2.0731689025486744,1.0,1.0,0.0020546913146972656,Decay,1e-07,0.1,default_top60
