,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
54,gradient,1.117610271546802,1.045990774178575,False,1000,0.9927077293395996,LearningRate,0.01,,default_feeling
69,gradient,1.1100938576832409,1.048676068524541,0.0,1000.0,0.1837470531463623,Momentum,0.001,0.7,only_children
63,gradient,1.1099925544368956,1.0488175741444608,0.0,334.0,0.06063389778137207,Momentum,0.01,0.999,only_children
55,gradient,1.1099925606348524,1.048817875540159,0.0,220.0,0.039134979248046875,LearningRate,0.01,,only_children
62,gradient,1.1099925521773564,1.0488180877123243,0.0,230.0,0.04240918159484863,Momentum,0.01,0.9,only_children
0,closed-form,1.1099922875050707,1.0488298832681369,,,0.0006301403045654297,,,,only_children
9,gradient,1.1099925551797796,1.0488427483595106,1.0,393.0,0.07650518417358398,Momentum,0.01,0.999,only_children
7,gradient,1.1099925571421387,1.0488427963891598,1.0,394.0,0.07730507850646973,Momentum,0.01,0.8,only_children
61,gradient,1.1099925586177746,1.0488428325996753,0.0,403.0,0.07311201095581055,Momentum,0.01,0.8,only_children
8,gradient,1.1099925608768086,1.0488428874041986,1.0,393.0,0.07678103446960449,Momentum,0.01,0.9,only_children
60,gradient,1.1099925623359779,1.0488429241956354,0.0,357.0,0.06480789184570312,Momentum,0.01,0.7,only_children
6,gradient,1.1099925629098448,1.0488429366610326,1.0,394.0,0.07707381248474121,Momentum,0.01,0.7,only_children
1,gradient,1.109992565128062,1.0488429901087153,1.0,398.0,0.07551002502441406,LearningRate,0.01,,only_children
4,gradient,1.1099925852762529,1.0488434676598652,1.0,404.0,0.07631206512451172,Decay,0.01,0.0001,only_children
58,gradient,1.1099926115790502,1.0488440696150372,0.0,403.0,0.08045196533203125,Decay,0.01,0.0001,only_children
5,gradient,1.1099926982895978,1.0488458997729808,1.0,427.0,0.08030200004577637,Decay,0.01,0.0005,only_children
59,gradient,1.1099928990352146,1.0488495374404927,0.0,511.0,0.09462499618530273,Decay,0.01,0.0005,only_children
3,gradient,1.1100608438455675,1.049099887468994,1.0,1000.0,0.19002223014831543,Decay,0.01,0.01,only_children
71,gradient,1.1100564120573582,1.0491193569595378,0.0,1000.0,0.18129730224609375,Momentum,0.001,0.9,only_children
55,gradient,1.1164773142764093,1.0492394526711992,0.0,1000.0,0.12980985641479492,LearningRate,0.01,,default_notext
76,gradient,1.0742464399061589,1.0494730944986208,0.0,1000.0,0.20152878761291504,Decay,0.0005,0.0001,only_children_square
76,gradient,1.0742464399061589,1.0494730944986208,0.0,1000.0,0.20152878761291504,Decay,0.0005,0.0001,only_children_square
67,gradient,1.111778170657088,1.049513154594487,0.0,1000.0,0.17518019676208496,Decay,0.001,0.0001,only_children
60,gradient,1.1166842035902584,1.0496383280435124,0.0,1000.0,0.15342211723327637,Momentum,0.01,0.7,default_notext
59,gradient,1.1158766539377296,1.0501524808343443,0.0,1000.0,0.13222408294677734,Decay,0.01,0.0005,default_notext
73,gradient,1.1108703392162147,1.0505538153896736,0.0,1000.0,0.17541289329528809,LearningRate,0.0005,,only_children
58,gradient,1.120010169338409,1.0511646679902673,0.0,1000.0,0.8716127872467041,Decay,0.01,0.0001,default_top60
62,gradient,1.125740616097682,1.0523626327404636,False,1000,1.200911283493042,Momentum,0.01,0.999,default_feeling
80,gradient,1.1124229098954568,1.053916576793928,0.0,1000.0,0.21133017539978027,Momentum,0.0005,0.9,only_children_square
80,gradient,1.1124229098954568,1.053916576793928,0.0,1000.0,0.21133017539978027,Momentum,0.0005,0.9,only_children_square
18,gradient,1.1141795401109027,1.0545449953008237,1.0,1000.0,2.2668490409851074,Momentum,0.001,0.999,stopwords_children_120
17,gradient,1.1141815737655965,1.054547147842668,1.0,1000.0,2.2558541297912598,Momentum,0.001,0.9,stopwords_children_120
16,gradient,1.1141836281489426,1.0545493220246025,1.0,1000.0,2.2666409015655518,Momentum,0.001,0.8,stopwords_children_120
15,gradient,1.1141856827201688,1.0545514961039186,1.0,1000.0,2.3030669689178467,Momentum,0.001,0.7,stopwords_children_120
10,gradient,1.1142000700006562,1.054566711840675,1.0,1000.0,2.0605649948120117,LearningRate,0.001,,stopwords_children_120
18,gradient,1.1154080402015236,1.0555194322837491,1.0,1000.0,0.7489159107208252,Momentum,0.001,0.999,stopwords_children_50
17,gradient,1.1154101537431091,1.0555215960207665,1.0,1000.0,0.6528449058532715,Momentum,0.001,0.9,stopwords_children_50
16,gradient,1.1154122888043694,1.0555237815115062,1.0,1000.0,0.7644510269165039,Momentum,0.001,0.8,stopwords_children_50
15,gradient,1.1154144240375168,1.0555259669001682,1.0,1000.0,0.7706630229949951,Momentum,0.001,0.7,stopwords_children_50
10,gradient,1.1154293755039568,1.0555412618164768,1.0,1000.0,0.5838117599487305,LearningRate,0.001,,stopwords_children_50
13,gradient,1.1157075239569039,1.0561574933146123,1.0,1000.0,2.3524327278137207,Decay,0.001,0.0001,stopwords_children_120
18,gradient,1.1155461902736232,1.0564483841216477,1.0,1000.0,4.903986930847168,Momentum,0.001,0.999,only_children_text
17,gradient,1.1155471751129933,1.0564487276491783,1.0,1000.0,4.567539930343628,Momentum,0.001,0.9,only_children_text
16,gradient,1.1155481698233445,1.0564490743453308,1.0,1000.0,4.282814979553223,Momentum,0.001,0.8,only_children_text
15,gradient,1.115549164456709,1.0564494207393373,1.0,1000.0,3.9280641078948975,Momentum,0.001,0.7,only_children_text
10,gradient,1.1155561247589016,1.0564518370977982,1.0,1000.0,4.2063939571380615,LearningRate,0.001,,only_children_text
13,gradient,1.116932480574214,1.0571553852822004,1.0,1000.0,0.599574089050293,Decay,0.001,0.0001,stopwords_children_50
